,genes,hgnc_id
ENSG00000179873,NLRP11,HGNC:22945
ENSG00000179886,TIGD5,HGNC:18336
ENSG00000179889,PDXDC1,HGNC:28995
ENSG00000179902,C1orf194,HGNC:32331
ENSG00000179909,ZNF154,HGNC:12939
ENSG00000179912,R3HDM2,HGNC:29167
ENSG00000179913,B3GNT3,HGNC:13528
ENSG00000179914,ITLN1,HGNC:18259
ENSG00000179915,NRXN1,HGNC:8008
ENSG00000179918,SEPHS2,HGNC:19686
ENSG00000179919,OR10A7,HGNC:15329
ENSG00000179921,GPBAR1,HGNC:19680
ENSG00000179922,ZNF784,HGNC:33111
ENSG00000179930,ZNF648,HGNC:18190
ENSG00000179933,C14orf119,HGNC:20270
ENSG00000179934,CCR8,HGNC:1609
ENSG00000179938,GOLGA8J,HGNC:38650
ENSG00000179941,BBS10,HGNC:26291
ENSG00000179943,FIZ1,HGNC:25917
ENSG00000179950,PUF60,HGNC:17042
ENSG00000179954,SSC5D,HGNC:26641
ENSG00000179958,DCTPP1,HGNC:28777
ENSG00000179965,ZNF771,HGNC:29653
ENSG00000179981,TSHZ1,HGNC:10669
ENSG00000179988,PSTK,HGNC:28578
ENSG00000180008,SOCS4,HGNC:19392
ENSG00000180011,ZADH2,HGNC:28697
ENSG00000180016,OR1E1,HGNC:8189
ENSG00000180035,ZNF48,HGNC:13114
ENSG00000180042,OR1R1P,HGNC:8226
ENSG00000180043,FAM71E2,HGNC:25278
ENSG00000180044,C3orf80,HGNC:40048
ENSG00000180053,NKX2-6,HGNC:32940
ENSG00000180061,TMEM150B,HGNC:34415
ENSG00000180071,ANKRD18A,HGNC:23643
ENSG00000180083,WFDC11,HGNC:20478
ENSG00000180089,TMEM86B,HGNC:28448
ENSG00000180090,OR3A1,HGNC:8282
ENSG00000180096,SEPTIN1,HGNC:2879
ENSG00000180098,TRNAU1AP,HGNC:30813
ENSG00000180104,EXOC3,HGNC:30378
ENSG00000180113,TDRD6,HGNC:21339
ENSG00000180116,C12orf40,HGNC:26846
ENSG00000180138,CSNK1A1L,HGNC:20289
ENSG00000180155,LYNX1,HGNC:29604
ENSG00000180176,TH,HGNC:11782
ENSG00000180182,MED14,HGNC:2370
ENSG00000180185,FAHD1,HGNC:14169
ENSG00000180190,TDRP,HGNC:26951
ENSG00000180198,RCC1,HGNC:1913
ENSG00000180205,WFDC9,HGNC:20380
ENSG00000180209,MYLPF,HGNC:29824
ENSG00000180210,F2,HGNC:3535
ENSG00000180219,FAM71C,HGNC:28594
ENSG00000180228,PRKRA,HGNC:9438
ENSG00000180233,ZNRF2,HGNC:22316
ENSG00000180245,RRH,HGNC:10450
ENSG00000180251,SLC9A4,HGNC:11077
ENSG00000180257,ZNF816,HGNC:26995
ENSG00000180263,FGD6,HGNC:21740
ENSG00000180264,ADGRD2,HGNC:18651
ENSG00000180269,GPR139,HGNC:19995
ENSG00000180287,PLD5,HGNC:26879
ENSG00000180304,OAZ2,HGNC:8096
ENSG00000180305,WFDC10A,HGNC:16139
ENSG00000180316,PNPLA1,HGNC:21246
ENSG00000180318,ALX1,HGNC:1494
ENSG00000180329,CCDC43,HGNC:26472
ENSG00000180332,KCTD4,HGNC:23227
ENSG00000180336,MEIOC,HGNC:26670
ENSG00000180340,FZD2,HGNC:4040
ENSG00000180346,TIGD2,HGNC:18333
ENSG00000180347,ITPRID1,HGNC:27363
ENSG00000180353,HCLS1,HGNC:4844
ENSG00000180354,MTURN,HGNC:25457
ENSG00000180357,ZNF609,HGNC:29003
ENSG00000180370,PAK2,HGNC:8591
ENSG00000180376,CCDC66,HGNC:27709
ENSG00000180383,DEFB124,HGNC:18104
ENSG00000180386,KRTAP9-7,HGNC:18915
ENSG00000180398,MCFD2,HGNC:18451
ENSG00000180423,HARBI1,HGNC:26522
ENSG00000180424,DEFB123,HGNC:18103
ENSG00000180425,C11orf71,HGNC:25937
ENSG00000180432,CYP8B1,HGNC:2653
ENSG00000180433,OR6K6,HGNC:15033
ENSG00000180440,SERTM1,HGNC:33792
ENSG00000180447,GAS1,HGNC:4165
ENSG00000180448,ARHGAP45,HGNC:17102
ENSG00000180475,OR10Q1,HGNC:15134
ENSG00000180479,ZNF571,HGNC:25000
ENSG00000180481,GLIPR1L2,HGNC:28592
ENSG00000180483,DEFB119,HGNC:18099
ENSG00000180488,MIGA1,HGNC:24741
ENSG00000180509,KCNE1,HGNC:6240
ENSG00000180530,NRIP1,HGNC:8001
ENSG00000180532,ZSCAN4,HGNC:23709
ENSG00000180535,BHLHA15,HGNC:22265
ENSG00000180537,RNF182,HGNC:28522
ENSG00000180543,TSPYL5,HGNC:29367
ENSG00000180549,FUT7,HGNC:4018
ENSG00000180573,H2AC6,HGNC:4733
ENSG00000180574,EIF2S3B,HGNC:43863
ENSG00000180592,SKIDA1,HGNC:32697
ENSG00000180596,H2BC4,HGNC:4757
ENSG00000180611,MB21D2,HGNC:30438
ENSG00000180613,GSX2,HGNC:24959
ENSG00000180616,SSTR2,HGNC:11331
ENSG00000180626,ZNF594,HGNC:29392
ENSG00000180628,PCGF5,HGNC:28264
ENSG00000180638,SLC47A2,HGNC:26439
ENSG00000180644,PRF1,HGNC:9360
ENSG00000180658,OR2A4,HGNC:14729
ENSG00000180660,MAB21L1,HGNC:6757
ENSG00000180667,YOD1,HGNC:25035
ENSG00000180694,TMEM64,HGNC:25441
ENSG00000180697,C3orf22,HGNC:28534
ENSG00000180708,OR10K2,HGNC:14826
ENSG00000180720,CHRM4,HGNC:1953
ENSG00000180730,SHISA2,HGNC:20366
ENSG00000180739,S1PR5,HGNC:14299
ENSG00000180745,CLRN3,HGNC:20795
ENSG00000180758,GPR157,HGNC:23687
ENSG00000180767,CHST13,HGNC:21755
ENSG00000180772,AGTR2,HGNC:338
ENSG00000180773,SLC36A4,HGNC:19660
ENSG00000180776,ZDHHC20,HGNC:20749
ENSG00000180777,ANKRD30B,HGNC:24165
ENSG00000180785,OR51E1,HGNC:15194
ENSG00000180787,ZFP3,HGNC:12861
ENSG00000180801,ARSJ,HGNC:26286
ENSG00000180806,HOXC9,HGNC:5130
ENSG00000180815,MAP3K15,HGNC:31689
ENSG00000180817,PPA1,HGNC:9226
ENSG00000180818,HOXC10,HGNC:5122
ENSG00000180822,PSMG4,HGNC:21108
ENSG00000180828,BHLHE22,HGNC:11963
ENSG00000180834,MAP6D1,HGNC:25753
ENSG00000180855,ZNF443,HGNC:20878
ENSG00000180871,CXCR2,HGNC:6027
ENSG00000180872,DEFB112,HGNC:18093
ENSG00000180875,GREM2,HGNC:17655
ENSG00000180878,C11orf42,HGNC:28541
ENSG00000180879,SSR4,HGNC:11326
ENSG00000180881,CAPS2,HGNC:16471
ENSG00000180884,ZNF792,HGNC:24751
ENSG00000180891,CUEDC1,HGNC:31350
ENSG00000180900,SCRIB,HGNC:30377
ENSG00000180901,KCTD2,HGNC:21294
ENSG00000180902,D2HGDH,HGNC:28358
ENSG00000180914,OXTR,HGNC:8529
ENSG00000180917,CMTR2,HGNC:25635
ENSG00000180919,OR56B4,HGNC:15248
ENSG00000180921,FAM83H,HGNC:24797
ENSG00000180929,GPR62,HGNC:13301
ENSG00000180934,OR56A1,HGNC:14781
ENSG00000180938,ZNF572,HGNC:26758
ENSG00000180953,ST20,HGNC:33520
ENSG00000180957,PITPNB,HGNC:9002
ENSG00000180964,TCEAL8,HGNC:28683
ENSG00000180974,OR52E4,HGNC:15213
ENSG00000180979,LRRC57,HGNC:26719
ENSG00000180988,OR52N2,HGNC:15228
ENSG00000180992,MRPL14,HGNC:14279
ENSG00000180998,GPR137C,HGNC:25445
ENSG00000180999,C1orf105,HGNC:29591
ENSG00000181001,OR52N1,HGNC:14853
ENSG00000181004,BBS12,HGNC:26648
ENSG00000181007,ZFP82,HGNC:28682
ENSG00000181009,OR52N5,HGNC:15231
ENSG00000181016,LSMEM1,HGNC:22036
ENSG00000181017,OR56B2P,HGNC:15246
ENSG00000181019,NQO1,HGNC:2874
ENSG00000181023,OR56B1,HGNC:15245
ENSG00000181026,AEN,HGNC:25722
ENSG00000181027,FKRP,HGNC:17997
ENSG00000181029,TRAPPC5,HGNC:23067
ENSG00000181031,RPH3AL,HGNC:10296
ENSG00000181035,SLC25A42,HGNC:28380
ENSG00000181036,FCRL6,HGNC:31910
ENSG00000181038,METTL23,HGNC:26988
ENSG00000181045,SLC26A11,HGNC:14471
ENSG00000181061,HIGD1A,HGNC:29527
ENSG00000181072,CHRM2,HGNC:1951
ENSG00000181074,OR52N4,HGNC:15230
ENSG00000181085,MAPK15,HGNC:24667
ENSG00000181090,EHMT1,HGNC:24650
ENSG00000181092,ADIPOQ,HGNC:13633
ENSG00000181104,F2R,HGNC:3537
ENSG00000181135,ZNF707,HGNC:27815
ENSG00000181143,MUC16,HGNC:15582
ENSG00000181163,NPM1,HGNC:7910
ENSG00000181191,PJA1,HGNC:16648
ENSG00000181192,DHTKD1,HGNC:23537
ENSG00000181195,PENK,HGNC:8831
ENSG00000181215,C4orf50,HGNC:33766
ENSG00000181218,H2AW,HGNC:20507
ENSG00000181220,ZNF746,HGNC:21948
ENSG00000181222,POLR2A,HGNC:9187
ENSG00000181234,TMEM132C,HGNC:25436
ENSG00000181240,SLC25A41,HGNC:28533
ENSG00000181264,TLCD5,HGNC:28280
ENSG00000181273,OR5AK2,HGNC:15251
ENSG00000181274,FRAT2,HGNC:16048
ENSG00000181284,TMEM102,HGNC:26722
ENSG00000181291,TMEM132E,HGNC:26991
ENSG00000181315,ZNF322,HGNC:23640
ENSG00000181322,NME9,HGNC:21343
ENSG00000181323,SPEM1,HGNC:32429
ENSG00000181333,HEPHL1,HGNC:30477
ENSG00000181350,LRRC75A,HGNC:32403
ENSG00000181371,OR5M8,HGNC:14846
ENSG00000181374,CCL13,HGNC:10611
ENSG00000181378,CFAP65,HGNC:25325
ENSG00000181381,DDX60L,HGNC:26429
ENSG00000181392,SYNE4,HGNC:26703
ENSG00000181396,OGFOD3,HGNC:26174
ENSG00000181404,WASHC1,HGNC:24361
ENSG00000181408,UTS2R,HGNC:4468
ENSG00000181409,AATK,HGNC:21
ENSG00000181418,DDN,HGNC:24458
ENSG00000181433,SAGE1,HGNC:30369
ENSG00000181444,ZNF467,HGNC:23154
ENSG00000181449,SOX2,HGNC:11195
ENSG00000181450,ZNF678,HGNC:28652
ENSG00000181458,TMEM45A,HGNC:25480
ENSG00000181467,RAP2B,HGNC:9862
ENSG00000181472,ZBTB2,HGNC:20868
ENSG00000181481,RNF135,HGNC:21158
ENSG00000181499,OR6T1,HGNC:14848
ENSG00000181513,ACBD4,HGNC:23337
ENSG00000181518,OR8D4,HGNC:14840
ENSG00000181523,SGSH,HGNC:10818
ENSG00000181541,MAB21L2,HGNC:6758
ENSG00000181544,FANCB,HGNC:3583
ENSG00000181552,EDDM3B,HGNC:19223
ENSG00000181555,SETD2,HGNC:18420
ENSG00000181562,EDDM3A,HGNC:16978
ENSG00000181585,TMIE,HGNC:30800
ENSG00000181588,MEX3D,HGNC:16734
ENSG00000181609,OR52D1,HGNC:15212
ENSG00000181610,MRPS23,HGNC:14509
ENSG00000181616,OR52H1,HGNC:15218
ENSG00000181617,FDCSP,HGNC:19215
ENSG00000181619,GPR135,HGNC:19991
ENSG00000181625,SLX1B,HGNC:28748
ENSG00000181626,ANKRD62,HGNC:35241
ENSG00000181631,P2RY13,HGNC:4537
ENSG00000181634,TNFSF15,HGNC:11931
ENSG00000181638,ZFP41,HGNC:26786
ENSG00000181649,PHLDA2,HGNC:12385
ENSG00000181652,ATG9B,HGNC:21899
ENSG00000181656,GPR88,HGNC:4539
ENSG00000181666,ZNF875,HGNC:4928
ENSG00000181690,PLAG1,HGNC:9045
ENSG00000181693,OR8H1,HGNC:14824
ENSG00000181698,OR5T1,HGNC:14821
ENSG00000181704,YIPF6,HGNC:28304
ENSG00000181718,OR5T2,HGNC:15296
ENSG00000181722,ZBTB20,HGNC:13503
ENSG00000181733,OR2Z1,HGNC:15391
ENSG00000181744,DIPK2A,HGNC:28490
ENSG00000181751,MACIR,HGNC:25052
ENSG00000181752,OR8K5,HGNC:15315
ENSG00000181754,AMIGO1,HGNC:20824
ENSG00000181761,OR8H3,HGNC:15309
ENSG00000181767,OR8H2,HGNC:15308
ENSG00000181773,GPR3,HGNC:4484
ENSG00000181778,TMEM252,HGNC:28537
ENSG00000181781,ODF3L2,HGNC:26841
ENSG00000181785,OR5AS1,HGNC:15261
ENSG00000181786,ACTL9,HGNC:28494
ENSG00000181788,SIAH2,HGNC:10858
ENSG00000181789,COPG1,HGNC:2236
ENSG00000181790,ADGRB1,HGNC:943
ENSG00000181803,OR6S1,HGNC:15363
ENSG00000181804,SLC9A9,HGNC:20653
ENSG00000181817,LSM10,HGNC:17562
ENSG00000181826,RELL1,HGNC:27379
ENSG00000181827,RFX7,HGNC:25777
ENSG00000181830,SLC35C1,HGNC:20197
ENSG00000181847,TIGIT,HGNC:26838
ENSG00000181852,RNF41,HGNC:18401
ENSG00000181856,SLC2A4,HGNC:11009
ENSG00000181867,FTMT,HGNC:17345
ENSG00000181873,IBA57,HGNC:27302
ENSG00000181885,CLDN7,HGNC:2049
ENSG00000181894,ZNF329,HGNC:14209
ENSG00000181896,ZNF101,HGNC:12881
ENSG00000181903,OR4C6,HGNC:14743
ENSG00000181904,C5orf24,HGNC:26746
ENSG00000181915,ADO,HGNC:23506
ENSG00000181924,COA4,HGNC:24604
ENSG00000181927,OR4P4,HGNC:15180
ENSG00000181929,PRKAG1,HGNC:9385
ENSG00000181938,GINS3,HGNC:25851
ENSG00000181939,OR4C15,HGNC:15171
ENSG00000181958,OR4A15,HGNC:15152
ENSG00000181961,OR4A16,HGNC:15153
ENSG00000181963,OR52K2,HGNC:15223
ENSG00000181965,NEUROG1,HGNC:7764
ENSG00000181982,CCDC149,HGNC:25405
ENSG00000181991,MRPS11,HGNC:14050
ENSG00000182004,SNRPE,HGNC:11161
ENSG00000182010,RTKN2,HGNC:19364
ENSG00000182013,PNMA8A,HGNC:25578
ENSG00000182022,CHST15,HGNC:18137
ENSG00000182035,ADIG,HGNC:28606
ENSG00000182040,USH1G,HGNC:16356
ENSG00000182050,MGAT4C,HGNC:30871
ENSG00000182053,TRIM49B,HGNC:42955
ENSG00000182054,IDH2,HGNC:5383
ENSG00000182070,OR52A1,HGNC:8318
ENSG00000182083,OR6B2,HGNC:15041
ENSG00000182087,TMEM259,HGNC:17039
ENSG00000182093,GET1,HGNC:12790
ENSG00000182095,TNRC18,HGNC:11962
ENSG00000182103,FAM181B,HGNC:28512
ENSG00000182107,TMEM30B,HGNC:27254
ENSG00000182108,DEXI,HGNC:13267
ENSG00000182111,ZNF716,HGNC:32458
ENSG00000182117,NOP10,HGNC:14378
ENSG00000182118,FAM89A,HGNC:25057
ENSG00000182132,KCNIP1,HGNC:15521
ENSG00000182134,TDRKH,HGNC:11713
ENSG00000182141,ZNF708,HGNC:12945
ENSG00000182149,IST1,HGNC:28977
ENSG00000182150,ERCC6L2,HGNC:26922
ENSG00000182154,MRPL41,HGNC:14492
ENSG00000182156,ENPP7,HGNC:23764
ENSG00000182158,CREB3L2,HGNC:23720
ENSG00000182162,P2RY8,HGNC:15524
ENSG00000182162.11_PAR_Y,P2RY8,HGNC:15524
ENSG00000182168,UNC5C,HGNC:12569
ENSG00000182170,MRGPRG,HGNC:24829
ENSG00000182173,TSEN54,HGNC:27561
ENSG00000182175,RGMA,HGNC:30308
ENSG00000182177,ASB18,HGNC:19770
ENSG00000182179,UBA7,HGNC:12471
ENSG00000182180,MRPS16,HGNC:14048
ENSG00000182183,SHISAL2A,HGNC:28757
ENSG00000182185,RAD51B,HGNC:9822
ENSG00000182187,CRYGB,HGNC:2409
ENSG00000182195,LDOC1,HGNC:6548
ENSG00000182196,ARL6IP4,HGNC:18076
ENSG00000182197,EXT1,HGNC:3512
ENSG00000182199,SHMT2,HGNC:10852
ENSG00000182208,MOB2,HGNC:24904
ENSG00000182218,HHIPL1,HGNC:19710
ENSG00000182220,ATP6AP2,HGNC:18305
ENSG00000182223,ZAR1,HGNC:20436
ENSG00000182224,CYB5D1,HGNC:26516
ENSG00000182230,FAM153B,HGNC:27323
ENSG00000182240,BACE2,HGNC:934
ENSG00000182247,UBE2E2,HGNC:12478
ENSG00000182253,SYNM,HGNC:24466
ENSG00000182255,KCNA4,HGNC:6222
ENSG00000182256,GABRG3,HGNC:4088
ENSG00000182261,NLRP10,HGNC:21464
ENSG00000182263,FIGN,HGNC:13285
ENSG00000182264,IZUMO1,HGNC:28539
ENSG00000182271,TMIGD1,HGNC:32431
ENSG00000182272,B4GALNT4,HGNC:26315
ENSG00000182287,AP1S2,HGNC:560
ENSG00000182307,C8orf33,HGNC:26104
ENSG00000182308,DCAF4L1,HGNC:27723
ENSG00000182310,SPACA6,HGNC:27113
ENSG00000182315,MBD3L3,HGNC:37205
ENSG00000182318,ZSCAN22,HGNC:4929
ENSG00000182324,KCNJ14,HGNC:6260
ENSG00000182325,FBXL6,HGNC:13603
ENSG00000182326,C1S,HGNC:1247
ENSG00000182327,GLTPD2,HGNC:33756
ENSG00000182329,KIAA2012,HGNC:51250
ENSG00000182330,PRAMEF8,HGNC:24074
ENSG00000182333,LIPF,HGNC:6622
ENSG00000182334,OR5P3,HGNC:14784
ENSG00000182346,DAOA,HGNC:21191
ENSG00000182348,ZNF804B,HGNC:21958
ENSG00000182359,KBTBD3,HGNC:22934
ENSG00000182362,YBEY,HGNC:1299
ENSG00000182372,CLN8,HGNC:2079
ENSG00000182378,PLCXD1,HGNC:23148
ENSG00000182378.14_PAR_Y,PLCXD1,HGNC:23148
ENSG00000182379,NXPH4,HGNC:8078
ENSG00000182389,CACNB4,HGNC:1404
ENSG00000182393,IFNL1,HGNC:18363
ENSG00000182400,TRAPPC6B,HGNC:23066
ENSG00000182405,PGBD4,HGNC:19401
ENSG00000182415,CDY2A,HGNC:1810
ENSG00000182446,NPLOC4,HGNC:18261
ENSG00000182447,OTOL1,HGNC:34071
ENSG00000182450,KCNK4,HGNC:6279
ENSG00000182459,TEX19,HGNC:33802
ENSG00000182463,TSHZ2,HGNC:13010
ENSG00000182472,CAPN12,HGNC:13249
ENSG00000182473,EXOC7,HGNC:23214
ENSG00000182481,KPNA2,HGNC:6395
ENSG00000182484,WASH6P,HGNC:31685
ENSG00000182484.15_PAR_Y,WASH6P,HGNC:31685
ENSG00000182489,XKRX,HGNC:29845
ENSG00000182492,BGN,HGNC:1044
ENSG00000182504,CEP97,HGNC:26244
ENSG00000182508,LHFPL1,HGNC:6587
ENSG00000182511,FES,HGNC:3657
ENSG00000182512,GLRX5,HGNC:20134
ENSG00000182518,FAM104B,HGNC:25085
ENSG00000182521,TBPL2,HGNC:19841
ENSG00000182533,CAV3,HGNC:1529
ENSG00000182534,MXRA7,HGNC:7541
ENSG00000182541,LIMK2,HGNC:6614
ENSG00000182544,MFSD5,HGNC:28156
ENSG00000182545,RNASE10,HGNC:19275
ENSG00000182551,ADI1,HGNC:30576
ENSG00000182552,RWDD4,HGNC:23750
ENSG00000182557,SPNS3,HGNC:28433
ENSG00000182566,CLEC4G,HGNC:24591
ENSG00000182568,SATB1,HGNC:10541
ENSG00000182575,NXPH3,HGNC:8077
ENSG00000182578,CSF1R,HGNC:2433
ENSG00000182580,EPHB3,HGNC:3394
ENSG00000182583,VCX,HGNC:12667
ENSG00000182584,ACTL10,HGNC:16127
ENSG00000182585,EPGN,HGNC:17470
ENSG00000182591,KRTAP11-1,HGNC:18922
ENSG00000182600,SNORC,HGNC:33763
ENSG00000182601,HS3ST4,HGNC:5200
ENSG00000182606,TRAK1,HGNC:29947
ENSG00000182612,TSPAN10,HGNC:29942
ENSG00000182613,OR2V2,HGNC:15341
ENSG00000182621,PLCB1,HGNC:15917
ENSG00000182628,SKA2,HGNC:28006
ENSG00000182631,RXFP3,HGNC:24883
ENSG00000182634,OR10G7,HGNC:14842
ENSG00000182636,NDN,HGNC:7675
ENSG00000182645,CCDC172,HGNC:30524
ENSG00000182652,OR4Q3,HGNC:15426
ENSG00000182667,NTM,HGNC:17941
ENSG00000182670,TTC3,HGNC:12393
ENSG00000182674,KCNB2,HGNC:6232
ENSG00000182676,PPP1R27,HGNC:16813
ENSG00000182685,BRICD5,HGNC:28309
ENSG00000182687,GALR2,HGNC:4133
ENSG00000182698,RESP18,HGNC:33762
ENSG00000182700,IGIP,HGNC:33847
ENSG00000182704,TSKU,HGNC:28850
ENSG00000182712,CMC4,HGNC:35428
ENSG00000182718,ANXA2,HGNC:537
ENSG00000182732,RGS6,HGNC:10002
ENSG00000182742,HOXB4,HGNC:5115
ENSG00000182747,SLC35D3,HGNC:15621
ENSG00000182749,PAQR7,HGNC:23146
ENSG00000182752,PAPPA,HGNC:8602
ENSG00000182759,MAFA,HGNC:23145
ENSG00000182768,NGRN,HGNC:18077
ENSG00000182771,GRID1,HGNC:4575
ENSG00000182774,RPS17,HGNC:10397
ENSG00000182782,HCAR2,HGNC:24827
ENSG00000182783,OR2T29,HGNC:31253
ENSG00000182791,CCDC87,HGNC:25579
ENSG00000182793,GSTA5,HGNC:19662
ENSG00000182795,C1orf116,HGNC:28667
ENSG00000182798,MAGEB17,HGNC:17418
ENSG00000182809,CRIP2,HGNC:2361
ENSG00000182810,DDX28,HGNC:17330
ENSG00000182816,KRTAP13-2,HGNC:18923
ENSG00000182827,ACBD3,HGNC:15453
ENSG00000182831,C16orf72,HGNC:30103
ENSG00000182836,PLCXD3,HGNC:31822
ENSG00000182853,VMO1,HGNC:30387
ENSG00000182854,OR4F15,HGNC:15078
ENSG00000182858,ALG12,HGNC:19358
ENSG00000182866,LCK,HGNC:6524
ENSG00000182870,GALNT9,HGNC:4131
ENSG00000182871,COL18A1,HGNC:2195
ENSG00000182872,RBM10,HGNC:9896
ENSG00000182885,ADGRG3,HGNC:13728
ENSG00000182890,GLUD2,HGNC:4336
ENSG00000182896,TMEM95,HGNC:27898
ENSG00000182898,TCHHL1,HGNC:31796
ENSG00000182899,RPL35A,HGNC:10345
ENSG00000182901,RGS7,HGNC:10003
ENSG00000182902,SLC25A18,HGNC:10988
ENSG00000182903,ZNF721,HGNC:29425
ENSG00000182916,TCEAL7,HGNC:28336
ENSG00000182919,C11orf54,HGNC:30204
ENSG00000182923,CEP63,HGNC:25815
ENSG00000182931,WFDC10B,HGNC:20479
ENSG00000182934,SRPRA,HGNC:11307
ENSG00000182938,OTOP3,HGNC:19658
ENSG00000182944,EWSR1,HGNC:3508
ENSG00000182950,ODF3L1,HGNC:28735
ENSG00000182952,HMGN4,HGNC:4989
ENSG00000182957,SPATA13,HGNC:23222
ENSG00000182963,GJC1,HGNC:4280
ENSG00000182968,SOX1,HGNC:11189
ENSG00000182973,CNOT10,HGNC:23817
ENSG00000182974,AC135068.1,NA
ENSG00000182979,MTA1,HGNC:7410
ENSG00000182983,ZNF662,HGNC:31930
ENSG00000182985,CADM1,HGNC:5951
ENSG00000182986,ZNF320,HGNC:13842
ENSG00000182993,C12orf60,HGNC:28726
ENSG00000183010,PYCR1,HGNC:9721
ENSG00000183011,NAA38,HGNC:28212
ENSG00000183018,SPNS2,HGNC:26992
ENSG00000183019,MCEMP1,HGNC:27291
ENSG00000183020,AP2A2,HGNC:562
ENSG00000183023,SLC8A1,HGNC:11068
ENSG00000183024,OR1G1,HGNC:8204
ENSG00000183032,SLC25A21,HGNC:14411
ENSG00000183034,OTOP2,HGNC:19657
ENSG00000183035,CYLC1,HGNC:2582
ENSG00000183036,PCP4,HGNC:8742
ENSG00000183044,ABAT,HGNC:23
ENSG00000183048,SLC25A10,HGNC:10980
ENSG00000183049,CAMK1D,HGNC:19341
ENSG00000183054,RGPD6,HGNC:32419
ENSG00000183060,LYSMD4,HGNC:26571
ENSG00000183066,WBP2NL,HGNC:28389
ENSG00000183067,IGSF5,HGNC:5952
ENSG00000183072,NKX2-5,HGNC:2488
ENSG00000183077,AFMID,HGNC:20910
ENSG00000183087,GAS6,HGNC:4168
ENSG00000183090,FREM3,HGNC:25172
ENSG00000183091,NEB,HGNC:7720
ENSG00000183092,BEGAIN,HGNC:24163
ENSG00000183098,GPC6,HGNC:4454
ENSG00000183111,ARHGEF37,HGNC:34430
ENSG00000183114,FAM43B,HGNC:31791
ENSG00000183117,CSMD1,HGNC:14026
ENSG00000183128,CALHM3,HGNC:23458
ENSG00000183134,PTGDR2,HGNC:4502
ENSG00000183137,CEP57L1,HGNC:21561
ENSG00000183145,RIPPLY3,HGNC:3047
ENSG00000183148,ANKRD20A2P,HGNC:31979
ENSG00000183150,GPR19,HGNC:4473
ENSG00000183153,GJD3,HGNC:19147
ENSG00000183155,RABIF,HGNC:9797
ENSG00000183160,TMEM119,HGNC:27884
ENSG00000183161,FANCF,HGNC:3587
ENSG00000183166,CALN1,HGNC:13248
ENSG00000183172,SMDT1,HGNC:25055
ENSG00000183185,GABRR3,HGNC:17969
ENSG00000183186,C2CD4C,HGNC:29417
ENSG00000183196,CHST6,HGNC:6938
ENSG00000183206,POTEC,HGNC:33894
ENSG00000183207,RUVBL2,HGNC:10475
ENSG00000183208,GDPGP1,HGNC:34360
ENSG00000183230,CTNNA3,HGNC:2511
ENSG00000183246,RIMBP3C,HGNC:33892
ENSG00000183248,PRR36,HGNC:26172
ENSG00000183251,OR51B4,HGNC:14708
ENSG00000183255,PTTG1IP,HGNC:13524
ENSG00000183258,DDX41,HGNC:18674
ENSG00000183260,ABHD16B,HGNC:16128
ENSG00000183269,OR52E8,HGNC:15217
ENSG00000183273,CCDC60,HGNC:28610
ENSG00000183281,PLGLB1,HGNC:9072
ENSG00000183283,DAZAP2,HGNC:2684
ENSG00000183287,CCBE1,HGNC:29426
ENSG00000183291,SELENOF,HGNC:17705
ENSG00000183303,OR5P2,HGNC:14783
ENSG00000183304,FAM9A,HGNC:18403
ENSG00000183305,MAGEA2B,HGNC:19340
ENSG00000183307,TMEM121B,HGNC:1844
ENSG00000183309,ZNF623,HGNC:29084
ENSG00000183310,OR2T34,HGNC:31256
ENSG00000183313,OR52L1,HGNC:14785
ENSG00000183317,EPHA10,HGNC:19987
ENSG00000183318,SPDYE4,HGNC:35463
ENSG00000183323,CCDC125,HGNC:28924
ENSG00000183324,REC114,HGNC:25065
ENSG00000183336,BOLA2,HGNC:29488
ENSG00000183337,BCOR,HGNC:20893
ENSG00000183340,JRKL,HGNC:6200
ENSG00000183346,CABCOCO1,HGNC:28678
ENSG00000183347,GBP6,HGNC:25395
ENSG00000183354,KIAA2026,HGNC:23378
ENSG00000183378,OVCH2,HGNC:29970
ENSG00000183379,SYNDIG1L,HGNC:32388
ENSG00000183386,FHL3,HGNC:3704
ENSG00000183389,OR56A4,HGNC:14791
ENSG00000183395,PMCH,HGNC:9109
ENSG00000183396,TMEM89,HGNC:32372
ENSG00000183397,C19orf71,HGNC:34496
ENSG00000183401,CCDC159,HGNC:26996
ENSG00000183421,RIPK4,HGNC:496
ENSG00000183423,LRIT3,HGNC:24783
ENSG00000183426,NPIPA1,HGNC:7909
ENSG00000183431,SF3A3,HGNC:10767
ENSG00000183434,TFDP3,HGNC:24603
ENSG00000183439,TRIM61,HGNC:24339
ENSG00000183454,GRIN2A,HGNC:4585
ENSG00000183463,URAD,HGNC:17785
ENSG00000183474,GTF2H2C,HGNC:31394
ENSG00000183475,ASB7,HGNC:17182
ENSG00000183476,SH2D7,HGNC:34549
ENSG00000183479,TREX2,HGNC:12270
ENSG00000183484,GPR132,HGNC:17482
ENSG00000183486,MX2,HGNC:7533
ENSG00000183495,EP400,HGNC:11958
ENSG00000183496,MEX3B,HGNC:25297
ENSG00000183508,TENT5C,HGNC:24712
ENSG00000183513,COA5,HGNC:33848
ENSG00000183520,UTP11,HGNC:24329
